Meter Number,Office,n_points,start_time,end_time,final_score_max,final_score_mean,point_iforest_max,dist_iforest,temp_iforest
SMR2420668001647,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.64630357220605,79.64630357220605,100.0,80.636281123279,3.036128234815608
SMR2220661010380,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.545343904398,64.97204608775098,100.0,52.96782458630885,57.69997685670227
MMF2420601047363,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.39226326232354,67.11687250288898,100.0,94.08512531721298,84.44481402044323
MMF2320601008337,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.37242633168354,53.242762590005775,100.0,86.24140019566697,100.0
SMR2420661042822,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.36883963416386,60.59958917880737,100.0,86.22945625630798,100.0
KFM2020660185700,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.28888213724623,50.23413052825351,97.26503713233777,72.64260616530441,23.66040661136573
KFM2020660158603,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.26278224053156,50.70850854906689,100.0,85.87592652000669,100.0
KFM2020660158494,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.75792767651942,60.058471641891344,100.0,90.9096361597128,86.56689714955283
MMF2320601008246,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.69371410568252,58.97599260880309,100.0,97.4983978518971,72.96128283596607
SMR2220661010485,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.66662635903094,68.49986842422081,100.0,61.55525186094335,34.667005338319576
MMF2320601008342,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.40778506373505,69.52137638663163,100.0,64.57877491433945,26.894350596221322
KFM2120660243871,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.32210227303693,78.23791520485587,100.0,100.0,65.37491721316292
KFM2020660151927,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.28171084896121,47.42680784499697,100.0,54.72161920984272,45.768167240055945
SMR2220661010508,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.082106874638,54.91614868675783,90.71006508945997,58.31354280832065,86.32956242364803
SMR2220661016158,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.04516190168674,52.9424513213906,100.0,81.81720046267026,100.0
MMF2420601016818,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,78.03481965910346,77.74678928613187,100.0,75.2310862184185,3.103291957186014
KFM2020660075119,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.8562249113405,61.914366507145324,100.0,81.18740827954252,100.0
KFM2120660240770,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.78241042388818,55.49088635915482,100.0,61.98192734088569,27.918881477483165
SMR2220661020462,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.75616109198873,48.442925783519115,97.30143968015861,56.40770563654394,100.0
MMF2420601019839,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.72804238278852,74.08580649601417,100.0,57.26615710597951,36.98796833996439
KFM2120660235802,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.67947615970287,65.66095227408229,100.0,83.63486324613648,93.92673624315306
MMF2320601008201,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.65092473677561,72.25945265480559,100.0,97.05650803267757,66.89296007317765
SMR2320661032424,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.5685550220912,71.89727045569778,97.54448746688631,97.35714793732998,72.0450356586459
KFM2120660243898,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.27816580529763,66.45733702133633,100.0,79.2605439430167,100.0
KFM2020660230604,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.18546143734017,46.65688790249092,69.66192221375074,62.88540461682047,100.0
KFM2120660243989,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.10475073346758,53.936449212682966,100.0,78.6824877333397,100.0
SMR2220661010333,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,77.04181927433693,58.91211412193848,100.0,93.85136419743296,69.24272297030743
MMF2320601008335,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.88026964298481,71.36438292628564,100.0,100.0,55.206654024272986
SMR2420661037177,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.86678899299218,69.55865531861171,100.0,86.83139278054557,82.11577375608229
KFM2120660237885,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.81775562345999,56.269124101158134,100.0,78.34164266820075,98.76838926110798
KFM2020660185757,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.8100378945854,57.30920760051316,100.0,41.21674213310088,62.96676836436759
SMR2420668001908,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.79362680235663,63.741942740159,96.37151181067681,51.32133204188079,51.961300951212216
KFM2020660183018,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.71190752914372,60.478358683474994,100.0,97.6477900166727,59.44979323323025
SMR2220661010339,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.66438706275292,76.66438658764518,100.0,100.0,54.42919669648912
KFM2120660242529,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.59616052480811,49.21654975373135,100.0,87.88391256724839,78.20655509278163
MMF2420601043292,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.58913298747551,70.51933094544675,100.0,94.09736204916427,65.73267411310358
MMF2420601016817,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.4675468698844,64.20540417250865,96.6880136368745,80.80886226961825,100.0
MMF2420601019801,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.45633525330769,51.27646537739579,97.26332483901962,63.9717787151838,22.122810504866532
KFM2020660158550,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.34191418243385,59.46198436980462,100.0,76.67660447756568,98.9262034297395
KFM2120660243948,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,76.12379623749683,49.09578267639808,100.0,88.6358306593116,73.55362324731813
KFM2020660158630,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.76505522941372,62.00056847226108,100.0,48.30657261577179,41.82055629788112
KFM2020660152233,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.74239117784705,57.45661055376868,100.0,90.74956337466699,66.78346284703775
KFM2020660182708,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.6933821974146,75.6933821974146,100.0,67.6701829957741,2.6155153245491554
KFM2020660179390,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.58068482530446,67.95610749999075,100.0,88.7356181842172,69.73319734119228
KFM2020660230714,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.57595887031258,55.60832401928264,100.0,57.94170568465245,21.289647766112267
KFM2120660245473,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.55124100242443,54.92991300606417,94.99966098391074,79.92122727083981,100.0
KFM2120660235838,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.2827339380002,61.861705356798176,96.73257110395889,76.80230639173476,100.0
KFM2020660182089,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.2146761759141,54.344930823746154,93.1398982869363,57.42956371279407,37.5129748107026
KFM2120660261762,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.1879059047816,48.52950329717919,91.623423482844,43.4206245084819,69.2446700756139
MMF2420601047393,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.09526466213707,75.0952620825616,100.0,100.0,43.968260046079024
KFM2020660158536,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.08224667521614,46.72028237969024,100.0,82.44962014829461,78.98237651841906
MMF2420601019855,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,75.00148194084363,74.7397236612112,100.0,41.628358607713814,50.08649572352988
MMF2320601008331,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.94292057627588,58.85643103645375,95.52405602291203,54.30973665713908,35.821586735420205
KFM2020660152025,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.29978635236317,54.418508275875894,94.9860791312131,53.46442870688618,34.60544849853506
SMR2420668002065,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.17170522313711,70.89679762963807,100.0,47.889723235153994,32.03192168393936
KFM2120660239610,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.1503717407438,74.1503717407438,100.0,57.021764396412166,13.625616145467582
MMF2420601047218,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.13161911179895,65.7472716006939,100.0,80.87570155307986,75.63947190284257
KFM2120660235739,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.07933187850482,72.71022341908021,100.0,100.0,17.325153612646986
MMF2420601047164,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,74.02258974467587,31.872806704524596,91.75732683116998,32.91237673083886,82.14870596949174
